Article_Name,ingredient_name,usage_amount,ingredient_name_02,usage_amount_02,ingredient_name_03,usage_amount_03,ingredient_name_04,usage_amount_04,ingredient_name_05,usage_amount_05
ABSOLUT VODKA,ABSOLUT VODKA LP,0.05,,,,,,,,
AMARONE COSTA,AMARONE COSTA LP,1,,,,,,,,
AMARONE TOMASI,AMARONE TOMASI LP,1,,,,,,,,
ANTIPASTE DITE,GORGONZOLA LP,0.05,,,,,,,,
APEROL SPRITZ,UJE PLASTIK LP,1,,,,,,,,
BACCARDI,BACCARDI LP,0.05,,,,,,,,
BACON,PANCETE LP,0.2,,,,,,,,
BARBERA D'ALBA SUPERIORE,BARBERA LP,1,,,,,,,,
BAROLO.,BAROLO LP ,1,,,,,,,,
BEEF BURRITO WRAPS,BIFTEK VICI LP,0.12,,,,,,,,
BIFTEK VICI PERIME PAKETE,BIFTEK VICI LP,0.13,,,,,,,,
BOUGOGNE ALIGOTE.,BOURGOGNE ALIGOTE LP,1,,,,,,,,
BRUNELLO BANFI.,BRUNELO BANFI LP,1,,,,,,,,
Berxolle 600,BERXOLLE VICI LP,0.6,,,,,,,,
Biftek 1000,BIFTEK VICI LP,0.15,,,,,,,,
CHIANTI RISERVA,CHIANTI RISERVA LP,1,,,,,,,,
CHICKEN BURRITO WRAPS,FILETO PULE LP,0.12,,,,,,,,
CHIVAS REGAL 12,CHIVAS LP,0.05,,,,,,,,
CHRUNCHY SHRIMPS,KARKALECA OLA LP,1.5,,,,,,,,
CORRETO ,Kafe LP,0.01,,,,,,,,
COURVEISER VS,COURVEISER VS LP,0.05,,,,,,,,
CUVEE 15 VINO ROSSO,CUVEE 15 VINI ROSSO LP,1,,,,,,,,
DISARONNO,DISARONNO LP,0.05,,,,,,,,
EXTRA BIFTEK,BIFTEK VICI LP,0.11,,,,,,,,
EXTRA KARKALECA,KARKALECA OLA LP,1,,,,,,,,
Espresso martini,Kafe LP,0.01,ABSOLUT VODKA LP,0.05,,,,,,
FISH AND CHIPS,FILETO PESHKU LP,0.66,,,,,,,,
FRENCH TOAST,DJATH I BARDHE DELE LP,0.1,,,,,,,,
GIN TANQUERAY,GIN TANQUERAY LP,0.05,,,,,,,,
GIN TONIC,GORDONS GIN LP,0.05,,,,,,,,
GORDON GIN,GORDONS GIN LP,0.05,,,,,,,,
GOTE MONTEPULCIANO,MONTEPULCIANO  LP,0.15,,,,,,,,
GRECO DI TUFO,GRECO DI TUFO LP,1,,,,,,,,
HENNESSY V.S.,HENNESSY LP,0.05,,,,,,,,
IL SARONE,IL SARONE LP,1,,,,,,,,
JACK COLA,JACK DANIELS LP,0.05,COCA COLA LP,1,,,,,,
JACK DANIELS WHISKEY,JACK DANIELS LP,0.05,,,,,,,,
JAGER-RED BULL,RED BULL LP,1,,,,,,,,
JAGERMAISTER RED BULL,RED BULL LP,0.5,,,,,,,,
JOHN I KUQ,JOHN I KUQLP,0.05,,,,,,,,
JOHNY BLACK,JOHNY BLACK LP,0.05,,,,,,,,
KAPUCINO DECAFEINATO,AMA DECAFFEINATO LP,1,,,,,,,,
KERPUDHE E MBUSHUR,SALCICE TE VILES LP,0.07,,,,,,,,
LES LEGENDS BOURDEAUX,LES LEGENDS BOURDEAUX LP,1,,,,,,,,
